BIB_No,BIB_Type,Socket_Density,Pass Code_Bin1,Bin_Sort_Index,Empty_Socket,ECID_Index,Split_ECID_method,Wafer_lot_Word1,Wafer_lot_Word2,Wafer_lot_Word3,Include_Bin2_check,Check_Type,Special_Words
10205011,TCALYPSO100,36,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10205011,TCALYPSO100,36,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10208011,TCALYPSO324,36,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10208011,TCALYPSO324,36,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10209011,TCALYPSO256,36,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10209011,TCALYPSO256,36,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10195011,KPANTHER257,40,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10195011,KPANTHER257,40,,,FACE00FF,40000020,8,40000014,40000018,4000001C,Y,Qcheck,
10382011,KQUASAR3,32,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10382011,KQUASAR3,32,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10381011,KRAINIER252,50,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10381011,KRAINIER252,50,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
